id;artist;album
0vFTfoOavRM;perfume genius;set my heart on fire immediately
nwJ88RCBcfE;moses sumney;græ
4uNlwM0ZfY8;yung lean;starz
HRZcBNjlPQI;charli xcx;how i'm feeling now
LqBsfpdHXX0;future;high off life
1h5eCTXfBGg;hayley williams;petals for armor
wTbjkUPpbhA;natalia lafourcade;un canto por méxico vol. 1
VEm5LU1YfeA;ka;descendants of cain
_v2rjiXHvzQ;nav;good intentions & brown boy 2
Uka2_LVDiv8;dope body;home body
AaTq83KFeKo;umbra vitae;shadow of life
SWiRwPkHU8o;car seat headrest;making a door less open
GHkJpVTe568;elder;omens
o-8BK4XJmzg;drake;dark lane demo tapes mixtape
ugJucHACZr8;dance gavin dance;afterburner
fAgo_BNUB_g;black dresses;peaceful as hell
o_dycSOZtm8;quelle chris & chris keys;innocent country 2
x0GzWxPJQUs;lido pimienta;miss colombia
L1ClMFpPGro;danzig sings elvis;danzig sings elvis
IothoUVKPas;kali uchis;to feel alive ep
NJgHNeFVQqg;black curse;endless wound
fsTud32GJrg;westside gunn;pray for paris
XGTBxV-RLwI;fiona apple;fetch the bolt cutters
SyWmV_oD2us;rina sawayama;sawayama
I-L_MDmJxU0;dababy;blame it on baby
ddy8WPKFDb4;laura marling;song for our daughter
yTWc9cdON44;igorrr;spirituality and distortion
TXWQ_pl76Y0;the strokes;the new abnormal
Hs3Bfg_5t8Q;bladee;exeter mixtape
P7mLMSo17jc;sam hunt;southside
el7NTXDuaCo;four tet;sixteen oceans
RlRvesjS9rE;yves tumor;heaven to a tortured mind
AMKnqlZzRcM;waxahatchee;saint cloud
mMY3eoqp0kg;thundercat;it is what it is
W2xOmf1sPXE;joyner lucas' adhd;joyner lucas' adhd
p_Db3vDJuWU;nicolas jaar;cenizas
tpyQzfYDh1Y;dua lipa;future nostalgia
1-YccbQ9EVk;don toliver;heaven or hell
aHVTlcNdIFc;sufjan stevens & lowell brams;aporia
NfGPMT6RNJU;horse lords;the common task
U8DL0wDfxAw;the garden;kiss my super bowl ring
vMxNmFZ2ijY;childish gambino;3.15.20
GpyoyfxLmCU;the weeknd;after hours
kJb6Lz5frq4;r.a.p. ferreira;purple moonlight pages
Hbi2rTyz42U;machine girl;void synthesizer
9j3Y7LYl3H8;jay electronica;a written testimony
hh1y2FbdHvA;code orange;underneath
ANmdYZdKiWY;lil uzi vert;luv vs. the world 2
7Q8tNSIQKBM;megan thee stallion;suga ep
Ui0JUOZBPls;princess nokia;everything is beautiful & everything sucks
I4H_vmSQEGs;loathe;i let it in and it took everything
oH2rxEXcBSA;u.s. girls;heavy light
sYLTNvie3sA;lil uzi vert;eternal atake
jR3hyPi0Dbc;gupi;none
cVCZGlcW3lA;bad bunny;yhlqmdlg
7aA6NOJtjew;caribou;suddenly
DhTY9G4KdtE;lil baby;my turn
NoOWjMKLzoI;grimes;miss anthropocene
YqLDx2PnOYM;"royce da 5'9""";the allegory
z6y4M7HVRXg;bts;map of the soul: 7
cTUxGqQBPFM;king krule;man alive!
LUKTMDyfoRU;eden;no future
EMTBCKD2Uy4;mark kozelek with ben boye and jim white;mark kozelek with ben boye and jim white 2
_O0UrJG9J0A;trippie redd;a love letter to you 4 mixtape
VkMov0H8QRA;coldplay;everyday life
wsu8XzmeOYg;have a nice life;sea of worry
ckBbj-E0SdA;madeon;good faith
NMsEzAg_E7o;liturgy;h.a.q.q.
9aInNmFYxRM;mount eerie with julie doiron;lost wisdom pt. 2
VuWOK6_7GZU;lil peep;everybody's everything compilation
XQJ2o3Si9mU;doja cat;hot pink
1J3s6wbc-S4;matana roberts;coin coin chapter four: memphis
4pRxNcHyxKQ;michael kiwanuka;kiwanuka
auy8wEk7Fww;fka twigs;magdalene
4tMn-cTP_wQ;westside gunn;hwh7 mixtape
UtL5_lw0xtI;gang starr;one of the best yet
Ue7WGgA_2_Q;anamanaguchi;[usa]
n8yFCmjXZeE;highly suspect;mcid
3mE4p3Ctlek;sunn o)));pyroclasts
t9vCCWuoF0k;poppy;i disagree
S5JcFNvl3kE;stormzy;heavy is the head
HaKthjg4zYQ;jackboys & travis scott;titled
7ndtSyn6dVg;mac miller;circles
CRdHP88An2s;eminem;music to be murdered by
rNaT3KazKoE;kanye west;my beautiful dark twisted fantasy redux
e-Q9e1DjO5U;clipse;hell hath no fury
TIVqhJuE1sY;my chemical romance;the black parade
UAOZoA_9pQE;converge;jane doe
dCdMYNbK8Vs;talk talk;laughing stock
pdndmLXJT9w;janet jackson;the velvet rope
jKw0RVvH94A;harry styles;fine line
GLyTw0trKM0;glass beach;the first glass beach
zX1r4cczTT0;ecco2k;e
X0f_8M1jinE;uncommon nasa & kount fif;city as school
NFap7zUpzOg;cattle decapitation;death atlas
VyzhfhARDr0;xxxtentacion;bad vibes forever
xF2BvFkMieA;griselda;wwcd
IJnUpM5wrIQ;hannah diamond;reflections
CafRD-uvYXs;lim kim;generasian ep
5c9VDBG5Epw;beck;hyperspace
jeFLQSy2uFQ;tnght;ii ep
P-A-j2rlsvo;yazz ahmed;polyhymnia
_O0UrJG9J0A;trippie redd;a love letter to you 4 mixtape
VkMov0H8QRA;coldplay;everyday life
wsu8XzmeOYg;have a nice life;sea of worry
ckBbj-E0SdA;madeon;good faith
NMsEzAg_E7o;liturgy;h.a.q.q.
9aInNmFYxRM;mount eerie with julie doiron;lost wisdom pt. 2
VuWOK6_7GZU;lil peep;everybody's everything compilation
XQJ2o3Si9mU;doja cat;hot pink
1J3s6wbc-S4;matana roberts;coin coin chapter four: memphis
4pRxNcHyxKQ;michael kiwanuka;kiwanuka
auy8wEk7Fww;fka twigs;magdalene
4tMn-cTP_wQ;westside gunn;hwh7 mixtape
UtL5_lw0xtI;gang starr;one of the best yet
Ue7WGgA_2_Q;anamanaguchi;[usa]
n8yFCmjXZeE;highly suspect;mcid
3mE4p3Ctlek;sunn o)));pyroclasts
f61jC1yPe4g;earl sweatshirt;feet of clay ep
pccO0anCKZY;rex orange county;pony
sOBY0PcjusQ;swans;leaving meaning.
gmKru-Is0SA;kanye west;jesus is king
jtPlfmhPnNg;clipping.;there existed an addiction to blood
ieXeM1YpqDg;caroline polachek;pang
a2l3o6Rzyzg;battles;juice b crypts
sZzwK3n_KEI;lightning bolt;sonic citadel
Ufd4o67Ze6w;ana frango elétrico;little electric chicken heart
FhuRfJsjs-A;big thief;two hands
fpATa8UJPh8;richard dawson;2020
9mhJ74tBV0E;nick cave and the bad seeds;ghosteen
00wiwO6nzRk;angel olsen;all mirrors
Q5rDfedBC3c;sturgill simpson;sound & fury
d3MJLRnWAxQ;billy woods;terror management
V2ZTJ8oD4TQ;danny brown;uknowhatimsayin¿
Jo2mZw2vNSg;weatherday;come in
WFgMAhpGEXw;dababy;kirk
Nm1tOpo5Pwo;hobo johnson;the fall of hobo johnson
avfDv8uY3Ys;brittany howard;jaime
CZXJizIr3xE;blink;nine
j7-mXvXB4uc;vivian girls;memory
XVVtKcvQ5vM;iglooghost, kai whiston & babii;xyz
OEbf8YhTWEo;nostalgia critic;the wall
6AVztTAVlxc;chelsea wolfe;birth of violence
zcn-Kp_OWfI;ameer vann;emmanuel ep
RZyr_nc936Q;(sandy) alex g;house of sugar
1Cwqhd2me2U;the highwomen;titled
nA-_v2cJges;charli xcx;charli
ZGmQ9_ceFoY;jpegmafia;all my heroes are cornballs
cRO0BuhzDsw;alex cameron;miami memory
D95K29ZTxpo;idk;is he real?
-YlaJuowR1w;earthgang;mirrorland
Za6s9zOntCE;post malone;hollywood's bleeding
hItRO3zBdcw;tropical [frick] storm;braindrops
9fewwAkSrCw;lana del rey;norman [fricking] rockwell!
CDzYqHFilZU;blanck mass;animated violence mild
K7xhuqw4DgE;tool;fear inoculum
xlpqeREimKg;93punx, vic mensa;93punx
L_xu6Koreqs;rapsody;eve
PqgUthlbpuE;knocked loose;a different shade of blue
uqOiWhlOny4;taylor swift;lover
B7oeiUvMqXA;brockhampton;ginger
NSCQQpdLg3E;weekly track roundup8/26 (the 1975wow / tom macdonald);weekly track roundup8/26 (the 1975wow / tom macdonald)
QDGMikSzoHE;sleater;the center won't hold
JI8WYhOdhtA;oh sees;face stabber
l8jKCfUx-Oc;young thug;so much fun
Puf8WJjnS4I;king gizzard & the lizard wizard;infest the rats' nest
lE0FteCqWmw;trippie redd;!
CUNeMprEkDA;the flaming lips;king's mouth
Yw86LVY5Ayo;drake;care package compilation
UW4pAuwer3o;slipknot;we are not your kind
uo6oJFhvW3s;swain;negative space
8h3hJJbdJQA;bon iver;i,i
UUGId_y9bAs;tomb mold;planetary clairvoyance
