ARTISTS,ALBUM TITLE,SCORE,GENDER
Miley Cyrus,Miley Cyrus and Her Dead Petz,1,F
Lana Del Rey,Ultraviolence,2,F
Uffie,Sex Dreams and Denim Jeans,2,F
Willow Smith,Ardipithecus,3,F
Charli XCX,True Romance,3,F
Lana Del Rey,Born to Die,3,F
Anika,Anika,3,F
Soap&Skin,From Gas to Solid / You Are My Friend,4,F
Princess Nokia,A Girl Cried Red,4,F
Kacey Musgraves,Golden Hour,4,F
Taylor Swift,Reputation,4,F
M.I.A.,A.I.M.,4,F
Rihanna,ANTI,4,F
SZA,Z,4,F
Sky Ferreira,"Night Time, My Time",4,F
Macintosh Plus,Floral Shoppe,4,F
Jessie Ware,Devotion,4,F
Feist,Metals,4,F
Grimes,Miss Anthropocene,4,F
Waxahatchee,Saint Cloud,4,F
Nicki Minaj,Queen,5,F
Tune-Yards,I Can Feel You Creep Into My Private Life,5,F
Laura Marling,Semper Fermina,5,F
Little Simz,Stillness In Wonderland,5,F
Banks,The Altar,5,F
Bat For Lashes,The Bride,5,F
Lana Del Rey,Honeymoon,5,F
Torres,Sprinter,5,F
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",5,F
Azealia Banks,Broke With Expensive Taste,5,F
Banks,Goddess,5,F
Angel Olsen,Burn Your Fire For No Witness,5,F
Grimes,Visions,5,F
MIA,Maya (/\/\ /\ Y /\),5,F
Megan Thee Stallion,Suga,5,F
070 Shake,Modus Vivendi,5,F
U.S. Girls,Heavy Light,5,F
Mitski,Be The Cowboy,6,F
Teyena Taylor,K.T.S.E.,6,F
Rico Nasty,Nasty,6,F
Park Jiha,Communion,6,F
Courtney Barnett,Tell Me How You Really Feel,6,F
Cardi B,Invasion of Privacy,6,F
St. Vincent,MASSEDUCATION,6,F
Poppy,Poppy.Computer,6,F
Mykrur,Maredidt,6,F
Zola Jesus,Okovi,6,F
Lana Del Rey,Lust For Life,6,F
Katy Perry,Witness,6,F
Lady Gaga,Joanne,6,F
ANOHNI,Hopelessness,6,F
Lucinda Williams,The Ghosts of Highway 20,6,F
Erykah Badu,But You Caint Use My Phone,6,F
Anna Von Hausswolff,The Miraculous,6,F
Myrkur,M,6,F
Deradoorian,The Expanding Flower Planet,6,F
Holly Herndon,Platform,6,F
Matana Roberts,Coin Coin Chapter 3: River Run Thee,6,F
Sharon Van Etten,Are We There,6,F
Lykke Li,I Never Learn,6,F
Mø,No Mythologies To Follow,6,F
Beyonce,Beyoncé,6,F
